ID,Gender
11-9121.01-0,both
11-9121.01-1,both
11-9121.01-2,both
11-9041.00-0,male
11-9041.00-1,male
11-9041.00-2,male
11-3121.00-0,female
11-3121.00-1,female
11-3121.00-2,female
11-1011.03-0,female
11-1011.03-1,female
11-1011.03-2,female
11-9033.00-0,both
11-9033.00-1,both
11-9033.00-2,both
11-3031.01-0,both
11-3031.01-1,both
11-3031.01-2,both
11-3051.03-0,both
11-3051.03-1,both
11-3051.03-2,both
11-3021.00-0,male
11-3021.00-1,male
11-3021.00-2,male
11-9041.01-0,both
11-9041.01-1,both
11-9041.01-2,both
11-9199.10-0,male
11-9199.10-1,male
11-9199.10-2,both
13-1199.06-0,both
13-1199.06-1,both
13-1199.06-2,both
13-2099.00-0,male
13-2099.00-1,both
13-2099.00-2,both
13-1041.00-0,both
13-1041.00-1,both
13-1041.00-2,both
13-1074.00-0,both
13-1074.00-1,both
13-1074.00-2,both
13-1199.04-0,both
13-1199.04-1,both
13-1199.04-2,both
13-1075.00-0,female
13-1075.00-1,both
13-1075.00-2,female
13-1111.00-0,both
13-1111.00-1,both
13-1111.00-2,both
13-1199.05-0,female
13-1199.05-1,both
13-1199.05-2,female
13-1141.00-0,both
13-1141.00-1,both
13-1141.00-2,both
13-2072.00-0,both
13-2072.00-1,both
13-2072.00-2,both
15-1232.00-0,both
15-1232.00-1,both
15-1232.00-2,both
15-2031.00-0,both
15-2031.00-1,both
15-2031.00-2,both
15-1244.00-0,both
15-1244.00-1,male
15-1244.00-2,male
15-1299.09-0,both
15-1299.09-1,both
15-1299.09-2,both
15-1241.00-0,male
15-1241.00-1,male
15-1241.00-2,both
15-2051.00-0,both
15-2051.00-1,both
15-2051.00-2,both
15-2051.01-0,both
15-2051.01-1,both
15-2051.01-2,both
15-1299.08-0,male
15-1299.08-1,both
15-1299.08-2,male
15-1299.05-0,both
15-1299.05-1,male
15-1299.05-2,male
15-1254.00-0,both
15-1254.00-1,both
15-1254.00-2,both
17-2151.00-0,male
17-2151.00-1,male
17-2151.00-2,male
17-2131.00-0,both
17-2131.00-1,both
17-2131.00-2,both
17-3023.00-0,male
17-3023.00-1,male
17-3023.00-2,male
17-2051.01-0,male
17-2051.01-1,both
17-2051.01-2,male
17-3022.00-0,male
17-3022.00-1,male
17-3022.00-2,male
17-3013.00-0,male
17-3013.00-1,male
17-3013.00-2,male
17-3024.00-0,male
17-3024.00-1,male
17-3024.00-2,male
17-2121.00-0,male
17-2121.00-1,male
17-2121.00-2,male
17-2199.05-0,both
17-2199.05-1,male
17-2199.05-2,male
17-3029.00-0,both
17-3029.00-1,male
17-3029.00-2,both
19-2041.00-0,both
19-2041.00-1,both
19-2041.00-2,both
19-4071.00-0,both
19-4071.00-1,both
19-4071.00-2,both
19-3041.00-0,both
19-3041.00-1,female
19-3041.00-2,female
19-4021.00-0,both
19-4021.00-1,both
19-4021.00-2,both
19-4012.01-0,both
19-4012.01-1,both
19-4012.01-2,both
19-3092.00-0,both
19-3092.00-1,both
19-3092.00-2,both
19-2041.03-0,both
19-2041.03-1,both
19-2041.03-2,both
19-4051.02-0,male
19-4051.02-1,male
19-4051.02-2,male
19-3034.00-0,female
19-3034.00-1,female
19-3034.00-2,female
19-1022.00-0,both
19-1022.00-1,both
19-1022.00-2,both
21-1091.00-0,female
21-1091.00-1,female
21-1091.00-2,female
21-1094.00-0,female
21-1094.00-1,female
21-1094.00-2,female
21-1015.00-0,female
21-1015.00-1,female
21-1015.00-2,female
21-1014.00-0,female
21-1014.00-1,female
21-1014.00-2,female
21-1013.00-0,female
21-1013.00-1,female
21-1013.00-2,female
21-1092.00-0,female
21-1092.00-1,both
21-1092.00-2,female
21-2011.00-0,both
21-2011.00-1,both
21-2011.00-2,both
21-1019.00-0,female
21-1019.00-1,female
21-1019.00-2,female
21-1011.00-0,female
21-1011.00-1,female
21-1011.00-2,female
21-1099.00-0,female
21-1099.00-1,female
21-1099.00-2,female
23-1011.00-0,both
23-1011.00-1,both
23-1011.00-2,both
23-1012.00-0,both
23-1012.00-1,both
23-1012.00-2,both
23-1021.00-0,both
23-1021.00-1,both
23-1021.00-2,both
23-1022.00-0,female
23-1022.00-1,female
23-1022.00-2,both
23-1023.00-0,both
23-1023.00-1,both
23-1023.00-2,male
23-2011.00-0,both
23-2011.00-1,female
23-2011.00-2,both
23-2093.00-0,both
23-2093.00-1,both
23-2093.00-2,both
23-2099.00-0,female
23-2099.00-1,female
23-2099.00-2,female
25-1064.00-0,female
25-1064.00-1,female
25-1064.00-2,female
25-3099.00-0,female
25-3099.00-1,female
25-3099.00-2,female
25-2058.00-0,female
25-2058.00-1,female
25-2058.00-2,female
25-2059.00-0,female
25-2059.00-1,female
25-2059.00-2,female
25-1066.00-0,female
25-1066.00-1,female
25-1066.00-2,female
25-1123.00-0,female
25-1123.00-1,female
25-1123.00-2,female
25-1011.00-0,both
25-1011.00-1,both
25-1011.00-2,female
25-2059.01-0,female
25-2059.01-1,female
25-2059.01-2,female
25-4011.00-0,female
25-4011.00-1,female
25-4011.00-2,female
25-1053.00-0,female
25-1053.00-1,female
25-1053.00-2,female
27-2012.00-0,both
27-2012.00-1,both
27-2012.00-2,both
27-2012.05-0,male
27-2012.05-1,both
27-2012.05-2,male
27-3041.00-0,female
27-3041.00-1,female
27-3041.00-2,female
27-2011.00-0,both
27-2011.00-1,both
27-2011.00-2,both
27-3011.00-0,both
27-3011.00-1,both
27-3011.00-2,both
27-2031.00-0,female
27-2031.00-1,female
27-2031.00-2,female
27-4031.00-0,both
27-4031.00-1,both
27-4031.00-2,both
27-4011.00-0,both
27-4011.00-1,male
27-4011.00-2,male
27-3099.00-0,female
27-3099.00-1,female
27-3099.00-2,both
27-2022.00-0,both
27-2022.00-1,both
27-2022.00-2,both
29-9099.00-0,both
29-9099.00-1,both
29-9099.00-2,both
29-1128.00-0,both
29-1128.00-1,both
29-1128.00-2,both
29-1131.00-0,both
29-1131.00-1,female
29-1131.00-2,both
29-1126.00-0,both
29-1126.00-1,both
29-1126.00-2,both
29-2072.00-0,female
29-2072.00-1,female
29-2072.00-2,female
29-1125.00-0,female
29-1125.00-1,female
29-1125.00-2,female
29-2012.00-0,both
29-2012.00-1,both
29-2012.00-2,both
29-1029.00-0,both
29-1029.00-1,both
29-1029.00-2,both
29-1141.01-0,both
29-1141.01-1,both
29-1141.01-2,female
29-1129.01-0,female
29-1129.01-1,female
29-1129.01-2,female
31-1121.00-0,female
31-1121.00-1,female
31-1121.00-2,female
31-9011.00-0,female
31-9011.00-1,female
31-9011.00-2,female
31-9099.02-0,both
31-9099.02-1,both
31-9099.02-2,both
31-2011.00-0,female
31-2011.00-1,female
31-2011.00-2,female
31-9093.00-0,female
31-9093.00-1,both
31-9093.00-2,both
31-1132.00-0,female
31-1132.00-1,female
31-1132.00-2,female
31-2021.00-0,female
31-2021.00-1,female
31-2021.00-2,female
31-9096.00-0,female
31-9096.00-1,female
31-9096.00-2,female
31-9092.00-0,female
31-9092.00-1,female
31-9092.00-2,female
31-9091.00-0,female
31-9091.00-1,female
31-9091.00-2,female
33-9011.00-0,female
33-9011.00-1,female
33-9011.00-2,female
33-9099.02-0,both
33-9099.02-1,both
33-9099.02-2,male
33-2011.00-0,male
33-2011.00-1,male
33-2011.00-2,male
33-1011.00-0,male
33-1011.00-1,male
33-1011.00-2,male
33-3031.00-0,male
33-3031.00-1,male
33-3031.00-2,male
33-2022.00-0,both
33-2022.00-1,both
33-2022.00-2,both
33-9091.00-0,male
33-9091.00-1,both
33-9091.00-2,both
33-3051.04-0,male
33-3051.04-1,male
33-3051.04-2,male
33-9093.00-0,both
33-9093.00-1,both
33-9093.00-2,both
33-9094.00-0,female
33-9094.00-1,female
33-9094.00-2,female
35-2012.00-0,female
35-2012.00-1,female
35-2012.00-2,female
35-1012.00-0,both
35-1012.00-1,both
35-1012.00-2,female
35-9011.00-0,female
35-9011.00-1,female
35-9011.00-2,female
35-9021.00-0,both
35-9021.00-1,both
35-9021.00-2,female
35-9031.00-0,female
35-9031.00-1,female
35-9031.00-2,female
35-3031.00-0,female
35-3031.00-1,female
35-3031.00-2,female
35-3011.00-0,both
35-3011.00-1,both
35-3011.00-2,both
35-9099.00-0,both
35-9099.00-1,both
35-9099.00-2,both
35-2013.00-0,female
35-2013.00-1,female
35-2013.00-2,female
35-3041.00-0,female
35-3041.00-1,female
35-3041.00-2,female
37-1011.00-0,female
37-1011.00-1,female
37-1011.00-2,female
37-1012.00-0,male
37-1012.00-1,both
37-1012.00-2,male
37-2011.00-0,female
37-2011.00-1,female
37-2011.00-2,female
37-2012.00-0,female
37-2012.00-1,female
37-2012.00-2,female
37-2019.00-0,female
37-2019.00-1,female
37-2019.00-2,female
37-2021.00-0,male
37-2021.00-1,both
37-2021.00-2,male
37-3011.00-0,both
37-3011.00-1,both
37-3011.00-2,both
37-3012.00-0,both
37-3012.00-1,both
37-3012.00-2,male
37-3013.00-0,male
37-3013.00-1,male
37-3013.00-2,male
37-3019.00-0,both
37-3019.00-1,male
37-3019.00-2,male
39-1014.00-0,female
39-1014.00-1,both
39-1014.00-2,both
39-1022.00-0,female
39-1022.00-1,female
39-1022.00-2,female
39-2011.00-0,female
39-2011.00-1,female
39-2011.00-2,both
39-1013.00-0,both
39-1013.00-1,both
39-1013.00-2,both
39-3011.00-0,male
39-3011.00-1,male
39-3011.00-2,male
39-5012.00-0,female
39-5012.00-1,female
39-5012.00-2,female
39-4011.00-0,both
39-4011.00-1,female
39-4011.00-2,female
39-5094.00-0,female
39-5094.00-1,female
39-5094.00-2,female
39-5092.00-0,female
39-5092.00-1,female
39-5092.00-2,female
39-5011.00-0,both
39-5011.00-1,both
39-5011.00-2,both
41-9041.00-0,both
41-9041.00-1,both
41-9041.00-2,both
41-2012.00-0,both
41-2012.00-1,both
41-2012.00-2,both
41-2022.00-0,male
41-2022.00-1,male
41-2022.00-2,male
41-2031.00-0,female
41-2031.00-1,female
41-2031.00-2,female
41-4011.07-0,both
41-4011.07-1,both
41-4011.07-2,both
41-9012.00-0,female
41-9012.00-1,female
41-9012.00-2,female
41-1011.00-0,both
41-1011.00-1,female
41-1011.00-2,both
41-9022.00-0,both
41-9022.00-1,both
41-9022.00-2,both
41-3031.00-0,male
41-3031.00-1,both
41-3031.00-2,both
41-1012.00-0,both
41-1012.00-1,both
41-1012.00-2,both
43-5061.00-0,both
43-5061.00-1,both
43-5061.00-2,both
43-4161.00-0,female
43-4161.00-1,female
43-4161.00-2,female
43-5053.00-0,both
43-5053.00-1,both
43-5053.00-2,both
43-4081.00-0,female
43-4081.00-1,female
