ID,Gender
11-9199.11-0,both
11-9199.11-1,both
11-9199.11-2,both
11-1021.00-0,both
11-1021.00-1,both
11-1021.00-2,both
11-9032.00-0,female
11-9032.00-1,female
11-9032.00-2,female
11-3051.01-0,both
11-3051.01-1,both
11-3051.01-2,both
11-3031.00-0,both
11-3031.00-1,male
11-3031.00-2,male
11-2021.00-0,both
11-2021.00-1,both
11-2021.00-2,both
11-1011.00-0,male
11-1011.00-1,male
11-1011.00-2,male
11-9041.00-0,male
11-9041.00-1,male
11-9041.00-2,male
11-3051.06-0,male
11-3051.06-1,male
11-3051.06-2,male
11-9121.00-0,both
11-9121.00-1,both
11-9121.00-2,both
13-1081.02-0,both
13-1081.02-1,both
13-1081.02-2,both
13-1199.06-0,both
13-1199.06-1,both
13-1199.06-2,both
13-2061.00-0,both
13-2061.00-1,both
13-2061.00-2,both
13-2082.00-0,both
13-2082.00-1,both
13-2082.00-2,both
13-1081.01-0,both
13-1081.01-1,male
13-1081.01-2,both
13-1031.00-0,both
13-1031.00-1,both
13-1031.00-2,both
13-1041.04-0,both
13-1041.04-1,both
13-1041.04-2,both
13-1199.00-0,both
13-1199.00-1,both
13-1199.00-2,both
13-2051.00-0,both
13-2051.00-1,both
13-2051.00-2,both
13-1041.00-0,both
13-1041.00-1,both
13-1041.00-2,both
15-1299.04-0,both
15-1299.04-1,male
15-1299.04-2,male
15-2099.00-0,both
15-2099.00-1,both
15-2099.00-2,both
15-1252.00-0,both
15-1252.00-1,both
15-1252.00-2,both
15-1299.03-0,both
15-1299.03-1,both
15-1299.03-2,both
15-1242.00-0,both
15-1242.00-1,both
15-1242.00-2,both
15-1243.01-0,both
15-1243.01-1,both
15-1243.01-2,both
15-1211.01-0,both
15-1211.01-1,both
15-1211.01-2,both
15-1255.00-0,both
15-1255.00-1,both
15-1255.00-2,both
15-1211.00-0,both
15-1211.00-1,both
15-1211.00-2,both
15-2051.02-0,both
15-2051.02-1,both
15-2051.02-2,both
17-3023.00-0,male
17-3023.00-1,male
17-3023.00-2,male
17-3028.00-0,both
17-3028.00-1,both
17-3028.00-2,both
17-2081.00-0,both
17-2081.00-1,both
17-2081.00-2,both
17-2061.00-0,male
17-2061.00-1,male
17-2061.00-2,male
17-3012.00-0,male
17-3012.00-1,male
17-3012.00-2,male
17-3026.01-0,both
17-3026.01-1,both
17-3026.01-2,both
17-2112.01-0,both
17-2112.01-1,both
17-2112.01-2,both
17-2199.09-0,both
17-2199.09-1,both
17-2199.09-2,both
17-2072.01-0,both
17-2072.01-1,both
17-2072.01-2,both
17-2141.01-0,male
17-2141.01-1,male
17-2141.01-2,both
19-3093.00-0,both
19-3093.00-1,both
19-3093.00-2,both
19-2032.00-0,both
19-2032.00-1,both
19-2032.00-2,both
19-4092.00-0,both
19-4092.00-1,both
19-4092.00-2,both
19-4012.00-0,both
19-4012.00-1,both
19-4012.00-2,both
19-1011.00-0,both
19-1011.00-1,both
19-1011.00-2,both
19-2041.01-0,both
19-2041.01-1,both
19-2041.01-2,both
19-2012.00-0,male
19-2012.00-1,male
19-2012.00-2,male
19-3092.00-0,both
19-3092.00-1,both
19-3092.00-2,both
19-1031.00-0,both
19-1031.00-1,both
19-1031.00-2,both
19-3022.00-0,both
19-3022.00-1,both
19-3022.00-2,both
21-1021.00-0,female
21-1021.00-1,female
21-1021.00-2,female
21-1029.00-0,female
21-1029.00-1,female
21-1029.00-2,female
21-1093.00-0,female
21-1093.00-1,female
21-1093.00-2,female
21-1013.00-0,female
21-1013.00-1,female
21-1013.00-2,female
21-1015.00-0,female
21-1015.00-1,female
21-1015.00-2,female
21-2011.00-0,both
21-2011.00-1,both
21-2011.00-2,both
21-1012.00-0,female
21-1012.00-1,female
21-1012.00-2,female
21-1099.00-0,female
21-1099.00-1,female
21-1099.00-2,female
21-1022.00-0,female
21-1022.00-1,female
21-1022.00-2,female
21-1094.00-0,female
21-1094.00-1,female
21-1094.00-2,female
23-1011.00-0,both
23-1011.00-1,both
23-1011.00-2,both
23-1012.00-0,both
23-1012.00-1,both
23-1012.00-2,both
23-1021.00-0,both
23-1021.00-1,both
23-1021.00-2,both
23-1022.00-0,both
23-1022.00-1,both
23-1022.00-2,both
23-1023.00-0,both
23-1023.00-1,male
23-1023.00-2,both
23-2011.00-0,female
23-2011.00-1,female
23-2011.00-2,female
23-2093.00-0,both
23-2093.00-1,both
23-2093.00-2,both
23-2099.00-0,both
23-2099.00-1,both
23-2099.00-2,both
25-9044.00-0,both
25-9044.00-1,both
25-9044.00-2,both
25-1072.00-0,female
25-1072.00-1,female
25-1072.00-2,female
25-1071.00-0,female
25-1071.00-1,female
25-1071.00-2,female
25-1032.00-0,male
25-1032.00-1,male
25-1032.00-2,male
25-3099.00-0,female
25-3099.00-1,both
25-3099.00-2,both
25-1052.00-0,both
25-1052.00-1,both
25-1052.00-2,both
25-9031.00-0,female
25-9031.00-1,female
25-9031.00-2,female
25-2031.00-0,female
25-2031.00-1,female
25-2031.00-2,both
25-2032.00-0,male
25-2032.00-1,male
25-2032.00-2,both
25-1069.00-0,female
25-1069.00-1,both
25-1069.00-2,female
27-3091.00-0,both
27-3091.00-1,both
27-3091.00-2,both
27-1026.00-0,female
27-1026.00-1,female
27-1026.00-2,female
27-4012.00-0,male
27-4012.00-1,male
27-4012.00-2,male
27-1014.00-0,both
27-1014.00-1,both
27-1014.00-2,both
27-3099.00-0,both
27-3099.00-1,both
27-3099.00-2,both
27-4015.00-0,both
27-4015.00-1,male
27-4015.00-2,male
27-3031.00-0,both
27-3031.00-1,both
27-3031.00-2,both
27-2022.00-0,both
27-2022.00-1,both
27-2022.00-2,both
27-1013.00-0,both
27-1013.00-1,both
27-1013.00-2,both
27-2091.00-0,male
27-2091.00-1,male
27-2091.00-2,male
29-1222.00-0,both
29-1222.00-1,both
29-1222.00-2,both
29-2099.08-0,female
29-2099.08-1,female
29-2099.08-2,female
29-1292.00-0,female
29-1292.00-1,female
29-1292.00-2,female
29-1131.00-0,both
29-1131.00-1,female
29-1131.00-2,both
29-1214.00-0,both
29-1214.00-1,both
29-1214.00-2,both
29-1129.01-0,female
29-1129.01-1,female
29-1129.01-2,female
29-1123.00-0,both
29-1123.00-1,female
29-1123.00-2,both
29-1224.00-0,both
29-1224.00-1,both
29-1224.00-2,both
29-1081.00-0,both
29-1081.00-1,both
29-1081.00-2,both
29-1129.02-0,female
29-1129.02-1,female
29-1129.02-2,female
31-1121.00-0,female
31-1121.00-1,female
31-1121.00-2,female
31-1132.00-0,female
31-1132.00-1,female
31-1132.00-2,female
31-9099.01-0,female
31-9099.01-1,female
31-9099.01-2,female
31-9099.02-0,both
31-9099.02-1,both
31-9099.02-2,both
31-2011.00-0,female
31-2011.00-1,female
31-2011.00-2,female
31-9091.00-0,female
31-9091.00-1,female
31-9091.00-2,female
31-2012.00-0,female
31-2012.00-1,female
31-2012.00-2,female
31-9092.00-0,female
31-9092.00-1,female
31-9092.00-2,female
31-9094.00-0,female
31-9094.00-1,female
31-9094.00-2,female
31-9099.00-0,female
31-9099.00-1,female
31-9099.00-2,female
33-9094.00-0,female
33-9094.00-1,female
33-9094.00-2,female
33-2011.00-0,male
33-2011.00-1,male
33-2011.00-2,male
33-1011.00-0,male
33-1011.00-1,male
33-1011.00-2,male
33-3052.00-0,male
33-3052.00-1,male
33-3052.00-2,male
33-3031.00-0,male
33-3031.00-1,male
33-3031.00-2,male
33-1099.00-0,male
33-1099.00-1,male
33-1099.00-2,male
33-9099.00-0,male
33-9099.00-1,male
33-9099.00-2,male
33-2022.00-0,both
33-2022.00-1,both
33-2022.00-2,both
33-3011.00-0,male
33-3011.00-1,male
33-3011.00-2,male
33-2021.00-0,male
33-2021.00-1,male
33-2021.00-2,male
35-3023.00-0,both
35-3023.00-1,both
35-3023.00-2,female
35-2015.00-0,male
35-2015.00-1,male
35-2015.00-2,male
35-3023.01-0,both
35-3023.01-1,both
35-3023.01-2,both
35-3011.00-0,both
35-3011.00-1,both
35-3011.00-2,both
35-2012.00-0,female
35-2012.00-1,female
35-2012.00-2,female
35-2013.00-0,female
35-2013.00-1,female
35-2013.00-2,female
35-9099.00-0,female
35-9099.00-1,both
35-9099.00-2,both
35-9021.00-0,both
35-9021.00-1,both
35-9021.00-2,both
35-2019.00-0,both
35-2019.00-1,both
35-2019.00-2,both
35-9031.00-0,female
35-9031.00-1,female
35-9031.00-2,female
37-1011.00-0,female
37-1011.00-1,female
37-1011.00-2,female
37-1012.00-0,male
37-1012.00-1,male
37-1012.00-2,male
37-2011.00-0,both
37-2011.00-1,both
37-2011.00-2,both
37-2012.00-0,female
37-2012.00-1,female
37-2012.00-2,female
37-2019.00-0,female
37-2019.00-1,female
37-2019.00-2,female
37-2021.00-0,male
37-2021.00-1,male
37-2021.00-2,male
37-3011.00-0,male
37-3011.00-1,male
37-3011.00-2,both
37-3012.00-0,male
37-3012.00-1,male
37-3012.00-2,male
37-3013.00-0,male
37-3013.00-1,male
37-3013.00-2,male
37-3019.00-0,male
37-3019.00-1,male
37-3019.00-2,male
39-4031.00-0,female
39-4031.00-1,both
39-4031.00-2,female
39-3012.00-0,male
39-3012.00-1,male
39-3012.00-2,male
39-2011.00-0,both
39-2011.00-1,female
39-2011.00-2,both
39-9011.00-0,female
39-9011.00-1,female
39-9011.00-2,female
39-1013.00-0,male
39-1013.00-1,male
39-1013.00-2,male
39-3019.00-0,both
39-3019.00-1,both
39-3019.00-2,both
39-5093.00-0,female
39-5093.00-1,female
39-5093.00-2,female
39-3031.00-0,female
39-3031.00-1,female
39-3031.00-2,female
39-5011.00-0,male
39-5011.00-1,male
39-5011.00-2,male
39-1014.00-0,both
39-1014.00-1,both
39-1014.00-2,both
41-4011.07-0,both
41-4011.07-1,both
41-4011.07-2,both
41-9031.00-0,both
41-9031.00-1,both
41-9031.00-2,both
41-9012.00-0,female
41-9012.00-1,female
41-9012.00-2,female
41-3041.00-0,female
41-3041.00-1,female
41-3041.00-2,female
41-3031.00-0,male
41-3031.00-1,male
41-3031.00-2,male
41-2021.00-0,both
41-2021.00-1,both
41-2021.00-2,female
41-2012.00-0,both
41-2012.00-1,both
41-2012.00-2,both
41-1012.00-0,male
41-1012.00-1,male
41-1012.00-2,male
41-2022.00-0,male
41-2022.00-1,male
41-2022.00-2,male
41-2031.00-0,female
41-2031.00-1,female
41-2031.00-2,female
43-9081.00-0,female
43-9081.00-1,female
43-9081.00-2,female
43-5021.00-0,both
43-5021.00-1,both
43-5021.00-2,both
43-5041.00-0,both
43-5041.00-1,both
43-5041.00-2,both
43-5061.00-0,both
43-5061.00-1,both
43-5061.00-2,both
43-6012.00-0,female
43-6012.00-1,female
43-6012.00-2,female
43-5071.00-0,both
43-5071.00-1,both
43-5071.00-2,both
43-4071.00-0,female
43-4071.00-1,female
43-4071.00-2,female
43-3011.00-0,both
43-3011.00-1,both
43-3011.00-2,both
43-2021.00-0,female
43-2021.00-1,female
43-2021.00-2,female
43-9031.00-0,female
43-9031.00-1,female
43-9031.00-2,female
45-2092.00-0,male
45-2092.00-1,male
45-2092.00-2,male
45-2041.00-0,both
45-2041.00-1,both
45-2041.00-2,both
45-2091.00-0,male
45-2091.00-1,male
45-2091.00-2,male
45-2099.00-0,both
45-2099.00-1,both
45-2099.00-2,male
45-2021.00-0,both
45-2021.00-1,both
45-2021.00-2,both
45-4022.00-0,male
45-4022.00-1,male
45-4022.00-2,male
45-4023.00-0,male
45-4023.00-1,male
45-4023.00-2,male
45-4011.00-0,both
45-4011.00-1,both
45-4011.00-2,both
45-4021.00-0,male
45-4021.00-1,male
45-4021.00-2,male
45-2093.00-0,male
45-2093.00-1,male
45-2093.00-2,male
47-2231.00-0,male
47-2231.00-1,male
47-2231.00-2,male
47-4071.00-0,male
47-4071.00-1,male
47-4071.00-2,male
47-5013.00-0,male
47-5013.00-1,male
47-5013.00-2,male
47-5032.00-0,male
47-5032.00-1,male
47-5032.00-2,male
47-4091.00-0,male
47-4091.00-1,male
47-4091.00-2,male
47-2111.00-0,male
47-2111.00-1,male
47-2111.00-2,male
47-2152.00-0,male
47-2152.00-1,male
47-2152.00-2,male
47-5071.00-0,male
47-5071.00-1,male
