ID,Gender
11-3051.00-0,male
11-3051.00-1,male
11-3051.00-2,male
11-9031.00-0,female
11-9031.00-1,female
11-9031.00-2,female
11-3013.00-0,both
11-3013.00-1,male
11-3013.00-2,male
11-9072.00-0,both
11-9072.00-1,both
11-9072.00-2,both
11-3031.00-0,male
11-3031.00-1,male
11-3031.00-2,male
11-9161.00-0,male
11-9161.00-1,both
11-9161.00-2,both
11-9199.11-0,both
11-9199.11-1,both
11-9199.11-2,both
11-3031.03-0,male
11-3031.03-1,male
11-3031.03-2,male
11-3071.04-0,both
11-3071.04-1,both
11-3071.04-2,both
11-1031.00-0,male
11-1031.00-1,both
11-1031.00-2,male
13-1023.00-0,both
13-1023.00-1,both
13-1023.00-2,both
13-1011.00-0,both
13-1011.00-1,both
13-1011.00-2,both
13-1199.06-0,both
13-1199.06-1,both
13-1199.06-2,both
13-1141.00-0,both
13-1141.00-1,both
13-1141.00-2,female
13-1041.00-0,both
13-1041.00-1,both
13-1041.00-2,both
13-1111.00-0,both
13-1111.00-1,both
13-1111.00-2,both
13-1131.00-0,female
13-1131.00-1,female
13-1131.00-2,female
13-2099.00-0,both
13-2099.00-1,male
13-2099.00-2,both
13-2099.04-0,male
13-2099.04-1,both
13-2099.04-2,both
13-2052.00-0,female
13-2052.00-1,both
13-2052.00-2,both
15-1243.01-0,both
15-1243.01-1,both
15-1243.01-2,both
15-1255.01-0,both
15-1255.01-1,both
15-1255.01-2,both
15-1299.07-0,male
15-1299.07-1,male
15-1299.07-2,male
15-1299.00-0,male
15-1299.00-1,both
15-1299.00-2,both
15-2011.00-0,both
15-2011.00-1,male
15-2011.00-2,male
15-1299.01-0,both
15-1299.01-1,both
15-1299.01-2,both
15-1299.09-0,both
15-1299.09-1,both
15-1299.09-2,both
15-2051.02-0,both
15-2051.02-1,both
15-2051.02-2,both
15-2041.01-0,both
15-2041.01-1,both
15-2041.01-2,both
15-1242.00-0,both
15-1242.00-1,both
15-1242.00-2,both
17-2112.00-0,male
17-2112.00-1,male
17-2112.00-2,male
17-2141.02-0,male
17-2141.02-1,male
17-2141.02-2,male
17-2131.00-0,male
17-2131.00-1,male
17-2131.00-2,both
17-1022.00-0,both
17-1022.00-1,male
17-1022.00-2,male
17-2199.03-0,both
17-2199.03-1,male
17-2199.03-2,both
17-3023.00-0,male
17-3023.00-1,male
17-3023.00-2,male
17-3029.08-0,male
17-3029.08-1,male
17-3029.08-2,male
17-2061.00-0,male
17-2061.00-1,male
17-2061.00-2,male
17-2051.02-0,both
17-2051.02-1,both
17-2051.02-2,both
17-2199.07-0,male
17-2199.07-1,male
17-2199.07-2,male
19-4021.00-0,both
19-4021.00-1,both
19-4021.00-2,both
19-3039.03-0,both
19-3039.03-1,female
19-3039.03-2,female
19-2099.01-0,male
19-2099.01-1,both
19-2099.01-2,male
19-4071.00-0,both
19-4071.00-1,male
19-4071.00-2,both
19-3039.02-0,both
19-3039.02-1,both
19-3039.02-2,both
19-1031.02-0,both
19-1031.02-1,both
19-1031.02-2,both
19-2021.00-0,both
19-2021.00-1,both
19-2021.00-2,both
19-4031.00-0,both
19-4031.00-1,both
19-4031.00-2,both
19-4051.00-0,male
19-4051.00-1,male
19-4051.00-2,male
19-1011.00-0,both
19-1011.00-1,both
19-1011.00-2,both
21-1022.00-0,female
21-1022.00-1,female
21-1022.00-2,female
21-1012.00-0,female
21-1012.00-1,female
21-1012.00-2,female
21-1021.00-0,female
21-1021.00-1,female
21-1021.00-2,female
21-1091.00-0,female
21-1091.00-1,female
21-1091.00-2,female
21-2099.00-0,female
21-2099.00-1,both
21-2099.00-2,both
21-2011.00-0,both
21-2011.00-1,both
21-2011.00-2,both
21-1092.00-0,female
21-1092.00-1,both
21-1092.00-2,female
21-2021.00-0,female
21-2021.00-1,female
21-2021.00-2,both
21-1093.00-0,female
21-1093.00-1,female
21-1093.00-2,female
21-1015.00-0,female
21-1015.00-1,female
21-1015.00-2,female
23-1011.00-0,both
23-1011.00-1,both
23-1011.00-2,both
23-1012.00-0,both
23-1012.00-1,both
23-1012.00-2,both
23-1021.00-0,male
23-1021.00-1,male
23-1021.00-2,male
23-1022.00-0,both
23-1022.00-1,female
23-1022.00-2,female
23-1023.00-0,male
23-1023.00-1,male
23-1023.00-2,male
23-2011.00-0,both
23-2011.00-1,both
23-2011.00-2,female
23-2093.00-0,both
23-2093.00-1,both
23-2093.00-2,both
23-2099.00-0,female
23-2099.00-1,female
23-2099.00-2,female
25-1082.00-0,female
25-1082.00-1,female
25-1082.00-2,female
25-1072.00-0,female
25-1072.00-1,female
25-1072.00-2,female
25-1066.00-0,female
25-1066.00-1,female
25-1066.00-2,female
25-1124.00-0,female
25-1124.00-1,female
25-1124.00-2,female
25-2055.00-0,female
25-2055.00-1,female
25-2055.00-2,female
25-1062.00-0,female
25-1062.00-1,female
25-1062.00-2,female
25-9021.00-0,female
25-9021.00-1,female
25-9021.00-2,female
25-1022.00-0,both
25-1022.00-1,male
25-1022.00-2,both
25-3099.00-0,female
25-3099.00-1,female
