ID,Gender
11-2032.00-0,both
11-2032.00-1,female
11-2032.00-2,female
11-3031.00-0,both
11-3031.00-1,both
11-3031.00-2,both
11-3051.01-0,both
11-3051.01-1,both
11-3051.01-2,both
11-9021.00-0,male
11-9021.00-1,male
11-9021.00-2,male
11-9121.00-0,both
11-9121.00-1,both
11-9121.00-2,both
11-3031.01-0,both
11-3031.01-1,both
11-3031.01-2,both
11-9199.00-0,both
11-9199.00-1,both
11-9199.00-2,both
11-1011.00-0,male
11-1011.00-1,male
11-1011.00-2,male
11-3071.00-0,male
11-3071.00-1,both
11-3071.00-2,male
11-9051.00-0,both
11-9051.00-1,both
11-9051.00-2,both
13-1081.00-0,both
13-1081.00-1,both
13-1081.00-2,both
13-1199.00-0,both
13-1199.00-1,both
13-1199.00-2,both
13-2023.00-0,both
13-2023.00-1,both
13-2023.00-2,both
13-1041.08-0,both
13-1041.08-1,both
13-1041.08-2,both
13-1199.04-0,both
13-1199.04-1,both
13-1199.04-2,both
13-1151.00-0,female
13-1151.00-1,female
13-1151.00-2,female
13-1041.03-0,female
13-1041.03-1,female
13-1041.03-2,female
13-2099.00-0,both
13-2099.00-1,both
13-2099.00-2,both
13-2099.01-0,male
13-2099.01-1,male
13-2099.01-2,male
13-1131.00-0,female
13-1131.00-1,female
13-1131.00-2,female
15-1253.00-0,both
15-1253.00-1,both
15-1253.00-2,both
15-1299.01-0,both
15-1299.01-1,both
15-1299.01-2,both
15-1299.04-0,male
15-1299.04-1,both
15-1299.04-2,both
15-1243.00-0,both
15-1243.00-1,both
15-1243.00-2,both
15-1251.00-0,both
15-1251.00-1,both
15-1251.00-2,both
15-2041.01-0,both
15-2041.01-1,both
15-2041.01-2,both
15-1241.01-0,male
15-1241.01-1,male
15-1241.01-2,both
15-1221.00-0,both
15-1221.00-1,both
15-1221.00-2,male
15-1299.06-0,male
15-1299.06-1,both
15-1299.06-2,male
15-1299.09-0,both
15-1299.09-1,both
15-1299.09-2,both
17-2199.00-0,both
17-2199.00-1,both
17-2199.00-2,both
17-2011.00-0,male
17-2011.00-1,male
17-2011.00-2,male
17-2051.02-0,both
17-2051.02-1,both
17-2051.02-2,both
17-3012.00-0,male
17-3012.00-1,male
17-3012.00-2,male
17-3019.00-0,male
17-3019.00-1,both
17-3019.00-2,both
17-1022.01-0,male
17-1022.01-1,male
17-1022.01-2,male
17-2031.00-0,both
17-2031.00-1,both
17-2031.00-2,both
17-3023.00-0,male
17-3023.00-1,male
17-3023.00-2,male
17-2121.00-0,male
17-2121.00-1,male
17-2121.00-2,male
17-3026.01-0,both
17-3026.01-1,both
17-3026.01-2,both
19-5012.00-0,both
19-5012.00-1,both
19-5012.00-2,both
19-4013.00-0,both
19-4013.00-1,both
19-4013.00-2,both
19-4043.00-0,both
19-4043.00-1,both
19-4043.00-2,male
19-1023.00-0,both
19-1023.00-1,both
19-1023.00-2,both
19-3039.03-0,both
19-3039.03-1,both
19-3039.03-2,both
19-3032.00-0,female
19-3032.00-1,female
19-3032.00-2,female
19-2099.00-0,both
19-2099.00-1,both
19-2099.00-2,both
19-3033.00-0,female
19-3033.00-1,female
19-3033.00-2,female
19-3099.00-0,both
19-3099.00-1,both
19-3099.00-2,both
19-3051.00-0,both
19-3051.00-1,both
19-3051.00-2,both
21-1012.00-0,female
21-1012.00-1,female
21-1012.00-2,female
21-1015.00-0,female
21-1015.00-1,female
21-1015.00-2,female
21-1029.00-0,female
21-1029.00-1,female
21-1029.00-2,female
21-1094.00-0,female
21-1094.00-1,female
21-1094.00-2,female
21-2011.00-0,female
21-2011.00-1,female
21-2011.00-2,female
21-1022.00-0,female
21-1022.00-1,female
21-1022.00-2,female
21-1021.00-0,female
21-1021.00-1,female
21-1021.00-2,female
21-1092.00-0,female
21-1092.00-1,female
21-1092.00-2,female
21-1013.00-0,female
21-1013.00-1,female
21-1013.00-2,female
21-2021.00-0,female
21-2021.00-1,female
21-2021.00-2,female
23-1011.00-0,both
23-1011.00-1,both
23-1011.00-2,both
23-1012.00-0,both
23-1012.00-1,both
23-1012.00-2,both
23-1021.00-0,both
23-1021.00-1,both
23-1021.00-2,both
23-1022.00-0,female
23-1022.00-1,both
23-1022.00-2,both
23-1023.00-0,both
23-1023.00-1,male
23-1023.00-2,male
23-2011.00-0,female
23-2011.00-1,female
23-2011.00-2,female
23-2093.00-0,both
23-2093.00-1,both
23-2093.00-2,both
23-2099.00-0,female
23-2099.00-1,female
23-2099.00-2,female
25-1069.00-0,female
25-1069.00-1,female
25-1069.00-2,female
25-1071.00-0,female
25-1071.00-1,female
25-1071.00-2,female
