caption,id,male,female,gender_label,gpt4_gender
<start> a man sitting on a wooden bench in front of a building <eos>,3454a44b8771d14e9df63a3adee738,True,False,male,male
<start> a little boy holding a tennis racket in his hand <eos>,ba19968bb2ceccf874f1758539903e42,True,False,male,male
<start> a black and white photo of a man in a suit and tie <eos>,b7a73d236d822bfc0f381da227ec9,True,False,male,male
<start> a group of men standing next to each other on a street <eos>,f9c515ab8779336da7aa4c30cbaf0,True,False,male,male
<start> a picture of a man in a black and white photo of a sign <eos>,cd9d652c934fddd08c45915150e2b57b,True,False,male,male
<start> a close up picture of a man wearing a tie <eos>,6c442a2dd8f1c1ab42f3918df5a8feb,True,False,male,male
<start> a young man is doing a trick on a skateboard <eos>,daa40b749cb9bee7a05a9eefbf1f12,True,False,male,male
<start> a black and white photo of a man sitting on a couch with a remote <eos>,7173a4466a138859ad1c3957f96922,True,False,male,male
<start> a man riding a snowboard down the side of a hill <eos>,6f6f70abc3bb61d9ab2bc4589448367f,True,False,male,male
<start> a young man holding a cell phone in his hand <eos>,dbb373f9fa145d09f223b8d4294ccf,True,False,male,male
<start> a young boy is holding a toothbrush in his mouth <eos>,f35e40f42c58f0f463cea40dd5713,True,False,male,male
<start> a group of young men playing a game of soccer <eos>,4ed1252f4fe2752d762031677d70c052,True,False,male,male
<start> a couple of men standing next to each other in a room <eos>,4dd671d892441bf273132383acc67d,True,False,male,male
<start> a man wearing a white shirt and tie holding a white shirt <eos>,445adda3909084241ad4fd85d9ae68f,True,False,male,male
<start> a man is standing in the water near a body of water <eos>,faffc282915c8e96e86111a8892fb99,True,False,male,male
<start> a man sitting on a bench in the woods with a dog <eos>,ecf8e7f5886acc01b082126cdbd279,True,False,male,male
<start> a man holding a cell phone in front of a crowd of people <eos>,5ec66ab9a1d47b7123cffc0f882cd7e,True,False,male,male
<start> a picture of a man in a blue shirt and a white shirt <eos>,f48d4b33dc8576b1886c6fdc72ec418,True,False,male,male
<start> a man is standing in front of a building with a blue door <eos>,d3abe4947281719188f531cbfb4d30ab,True,False,male,male
<start> a man standing in front of a microphone in front of a microphone <eos>,51a38e67f1f49cac74a4d4323479f8d,True,False,male,male
<start> a young boy holding a baseball bat in front of a tree <eos>,8e7f9f858413db238f3acda2558e47b,True,False,male,male
<start> a person is holding a hot dog in his hand <eos>,1d6fc213b9369bcc4384c47aa25076,True,False,male,neutral
<start> a man is standing in the grass next to a skateboard <eos>,a742e4ad7048922c5fbfe293f4d80b2,True,False,male,male
<start> a group of young men playing a game of soccer <eos>,a4ea5c8a712d2d51d1ce1a059ba55ea,True,False,male,male
