ID,Gender
11-9121.01-0,both
11-9121.01-1,female
11-9121.01-2,both
11-9199.10-0,both
11-9199.10-1,male
11-9199.10-2,both
11-9199.11-0,both
11-9199.11-1,both
11-9199.11-2,both
11-9032.00-0,both
11-9032.00-1,female
11-9032.00-2,female
11-9071.00-0,male
11-9071.00-1,male
11-9071.00-2,male
11-1011.00-0,male
11-1011.00-1,male
11-1011.00-2,male
11-2032.00-0,both
11-2032.00-1,both
11-2032.00-2,both
11-9111.00-0,both
11-9111.00-1,both
11-9111.00-2,both
11-3013.00-0,both
11-3013.00-1,both
11-3013.00-2,both
11-9039.00-0,both
11-9039.00-1,both
11-9039.00-2,both
13-1041.00-0,both
13-1041.00-1,both
13-1041.00-2,both
13-2099.00-0,both
13-2099.00-1,both
13-2099.00-2,both
13-1161.01-0,both
13-1161.01-1,both
13-1161.01-2,both
13-1199.06-0,both
13-1199.06-1,both
13-1199.06-2,both
13-2099.04-0,both
13-2099.04-1,both
13-2099.04-2,both
13-1041.07-0,both
13-1041.07-1,both
13-1041.07-2,both
13-1131.00-0,female
13-1131.00-1,female
13-1131.00-2,female
13-1041.08-0,both
13-1041.08-1,both
13-1041.08-2,both
13-2051.00-0,both
13-2051.00-1,both
13-2051.00-2,both
13-1074.00-0,male
13-1074.00-1,male
13-1074.00-2,male
15-1299.02-0,both
15-1299.02-1,both
15-1299.02-2,both
15-1299.06-0,both
15-1299.06-1,both
15-1299.06-2,both
15-1255.00-0,both
15-1255.00-1,both
15-1255.00-2,both
15-1211.00-0,both
15-1211.00-1,both
15-1211.00-2,both
15-1212.00-0,both
15-1212.00-1,both
15-1212.00-2,both
15-2051.02-0,both
15-2051.02-1,both
15-2051.02-2,both
15-1243.01-0,both
15-1243.01-1,both
15-1243.01-2,both
15-1299.03-0,both
15-1299.03-1,both
15-1299.03-2,both
15-2041.01-0,both
15-2041.01-1,both
15-2041.01-2,both
15-1252.00-0,both
15-1252.00-1,both
15-1252.00-2,both
17-3027.00-0,male
17-3027.00-1,male
17-3027.00-2,male
17-2081.00-0,both
17-2081.00-1,both
17-2081.00-2,both
17-2112.01-0,both
17-2112.01-1,both
17-2112.01-2,both
17-2112.03-0,both
17-2112.03-1,both
17-2112.03-2,male
17-3013.00-0,male
17-3013.00-1,male
17-3013.00-2,male
17-2061.00-0,male
17-2061.00-1,male
17-2061.00-2,male
17-2072.00-0,male
17-2072.00-1,male
17-2072.00-2,male
17-2141.01-0,both
17-2141.01-1,male
17-2141.01-2,both
17-3012.00-0,male
17-3012.00-1,male
17-3012.00-2,male
17-3024.01-0,male
17-3024.01-1,male
17-3024.01-2,male
19-3093.00-0,both
19-3093.00-1,both
19-3093.00-2,both
19-3033.00-0,female
19-3033.00-1,female
19-3033.00-2,female
19-4099.01-0,both
19-4099.01-1,both
19-4099.01-2,both
19-2041.02-0,both
19-2041.02-1,both
19-2041.02-2,both
19-3099.00-0,both
19-3099.00-1,both
19-3099.00-2,both
19-1012.00-0,both
19-1012.00-1,both
19-1012.00-2,both
19-1029.03-0,both
19-1029.03-1,both
19-1029.03-2,both
19-4071.00-0,both
19-4071.00-1,both
19-4071.00-2,both
19-3099.01-0,both
19-3099.01-1,both
19-3099.01-2,both
19-4099.00-0,both
19-4099.00-1,both
19-4099.00-2,both
21-1023.00-0,female
21-1023.00-1,female
21-1023.00-2,female
21-1091.00-0,female
21-1091.00-1,female
21-1091.00-2,female
21-1029.00-0,female
21-1029.00-1,female
21-1029.00-2,female
21-1011.00-0,female
21-1011.00-1,female
21-1011.00-2,female
21-1013.00-0,female
21-1013.00-1,female
21-1013.00-2,female
21-1019.00-0,female
21-1019.00-1,female
21-1019.00-2,female
21-2099.00-0,both
21-2099.00-1,both
21-2099.00-2,both
21-2021.00-0,female
21-2021.00-1,female
21-2021.00-2,female
21-1093.00-0,female
21-1093.00-1,female
21-1093.00-2,female
21-1092.00-0,both
21-1092.00-1,both
21-1092.00-2,both
23-1011.00-0,both
23-1011.00-1,both
23-1011.00-2,both
23-1012.00-0,both
23-1012.00-1,both
23-1012.00-2,both
23-1021.00-0,both
23-1021.00-1,both
23-1021.00-2,both
23-1022.00-0,female
23-1022.00-1,both
23-1022.00-2,both
23-1023.00-0,both
23-1023.00-1,both
23-1023.00-2,both
23-2011.00-0,female
23-2011.00-1,female
23-2011.00-2,female
23-2093.00-0,both
23-2093.00-1,both
23-2093.00-2,both
23-2099.00-0,female
23-2099.00-1,female
23-2099.00-2,female
25-1199.00-0,both
25-1199.00-1,both
25-1199.00-2,both
25-9044.00-0,female
25-9044.00-1,female
25-9044.00-2,female
25-1123.00-0,female
25-1123.00-1,female
25-1123.00-2,female
25-1011.00-0,both
25-1011.00-1,both
25-1011.00-2,both
25-1051.00-0,both
25-1051.00-1,both
25-1051.00-2,both
25-1054.00-0,male
25-1054.00-1,male
25-1054.00-2,male
25-2031.00-0,female
25-2031.00-1,female
25-2031.00-2,female
25-2021.00-0,female
25-2021.00-1,female
25-2021.00-2,female
25-1193.00-0,both
25-1193.00-1,female
25-1193.00-2,female
25-1064.00-0,both
25-1064.00-1,both
25-1064.00-2,both
27-1014.00-0,both
27-1014.00-1,both
27-1014.00-2,both
27-2012.04-0,both
27-2012.04-1,both
27-2012.04-2,both
27-3092.00-0,both
27-3092.00-1,both
27-3092.00-2,both
27-2021.00-0,both
27-2021.00-1,both
27-2021.00-2,both
27-2099.00-0,both
27-2099.00-1,both
27-2099.00-2,both
27-1021.00-0,both
27-1021.00-1,both
27-1021.00-2,both
27-2023.00-0,male
27-2023.00-1,male
27-2023.00-2,both
27-1027.00-0,both
27-1027.00-1,both
27-1027.00-2,both
27-4015.00-0,both
27-4015.00-1,male
27-4015.00-2,both
27-4032.00-0,both
27-4032.00-1,both
27-4032.00-2,both
29-1222.00-0,both
29-1222.00-1,both
29-1222.00-2,both
29-1224.00-0,both
29-1224.00-1,both
29-1224.00-2,both
29-2036.00-0,both
29-2036.00-1,both
29-2036.00-2,both
29-2091.00-0,both
29-2091.00-1,both
29-2091.00-2,both
29-1216.00-0,both
29-1216.00-1,both
29-1216.00-2,both
29-2011.04-0,both
29-2011.04-1,both
29-2011.04-2,both
29-2099.01-0,both
29-2099.01-1,both
29-2099.01-2,both
29-2043.00-0,both
29-2043.00-1,both
29-2043.00-2,both
29-2011.00-0,both
29-2011.00-1,both
29-2011.00-2,both
29-2042.00-0,both
29-2042.00-1,both
29-2042.00-2,both
31-9096.00-0,female
31-9096.00-1,female
31-9096.00-2,female
31-9011.00-0,female
31-9011.00-1,female
31-9011.00-2,female
31-1132.00-0,female
31-1132.00-1,female
31-1132.00-2,female
31-1133.00-0,female
31-1133.00-1,female
31-1133.00-2,female
31-1121.00-0,female
31-1121.00-1,female
31-1121.00-2,female
31-9099.01-0,female
31-9099.01-1,female
31-9099.01-2,female
31-9093.00-0,both
31-9093.00-1,both
31-9093.00-2,both
31-9092.00-0,female
31-9092.00-1,female
31-9092.00-2,female
31-2021.00-0,female
31-2021.00-1,female
31-2021.00-2,female
31-2011.00-0,female
31-2011.00-1,female
31-2011.00-2,female
33-1091.00-0,male
33-1091.00-1,male
33-1091.00-2,male
33-3021.02-0,male
33-3021.02-1,male
33-3021.02-2,male
33-1021.00-0,male
33-1021.00-1,male
33-1021.00-2,male
33-2022.00-0,both
33-2022.00-1,both
33-2022.00-2,both
33-2021.00-0,male
33-2021.00-1,male
33-2021.00-2,male
33-9021.00-0,both
33-9021.00-1,both
33-9021.00-2,both
33-3051.04-0,male
33-3051.04-1,male
33-3051.04-2,male
33-2011.00-0,male
33-2011.00-1,male
33-2011.00-2,male
33-3052.00-0,male
33-3052.00-1,male
33-3052.00-2,male
33-3051.00-0,male
33-3051.00-1,male
33-3051.00-2,male
35-2011.00-0,both
35-2011.00-1,both
35-2011.00-2,both
35-3011.00-0,both
35-3011.00-1,both
35-3011.00-2,both
35-2015.00-0,both
35-2015.00-1,both
35-2015.00-2,both
35-3023.00-0,both
35-3023.00-1,both
35-3023.00-2,both
35-2013.00-0,female
35-2013.00-1,female
35-2013.00-2,female
35-2021.00-0,both
35-2021.00-1,both
35-2021.00-2,both
35-1012.00-0,both
35-1012.00-1,both
35-1012.00-2,both
35-9011.00-0,female
35-9011.00-1,female
35-9011.00-2,female
35-9021.00-0,both
35-9021.00-1,both
35-9021.00-2,both
35-1011.00-0,both
35-1011.00-1,both
35-1011.00-2,both
37-1011.00-0,female
37-1011.00-1,female
37-1011.00-2,female
37-1012.00-0,male
37-1012.00-1,male
37-1012.00-2,male
37-2011.00-0,both
37-2011.00-1,both
37-2011.00-2,both
37-2012.00-0,female
37-2012.00-1,female
37-2012.00-2,female
37-2019.00-0,female
