ID,Gender
11-9013.00-0,male
11-9013.00-1,male
11-9013.00-2,male
11-9032.00-0,female
11-9032.00-1,female
11-9032.00-2,female
11-2011.00-0,both
11-2011.00-1,both
11-2011.00-2,both
11-9033.00-0,both
11-9033.00-1,both
11-9033.00-2,both
11-9179.01-0,female
11-9179.01-1,both
11-9179.01-2,female
11-3051.01-0,both
11-3051.01-1,both
11-3051.01-2,both
11-9199.02-0,both
11-9199.02-1,both
11-9199.02-2,both
11-3051.00-0,male
11-3051.00-1,male
11-3051.00-2,male
11-9039.00-0,female
11-9039.00-1,female
11-9039.00-2,both
11-9199.00-0,both
11-9199.00-1,both
11-9199.00-2,both
13-1021.00-0,both
13-1021.00-1,both
13-1021.00-2,both
13-1199.05-0,female
13-1199.05-1,both
13-1199.05-2,female
13-2011.00-0,both
13-2011.00-1,both
13-2011.00-2,both
13-1041.08-0,both
13-1041.08-1,both
13-1041.08-2,both
13-2061.00-0,both
13-2061.00-1,both
13-2061.00-2,both
13-1075.00-0,both
13-1075.00-1,both
13-1075.00-2,both
13-1081.01-0,male
13-1081.01-1,both
13-1081.01-2,both
13-2023.00-0,both
13-2023.00-1,both
13-2023.00-2,both
13-1081.00-0,both
13-1081.00-1,both
13-1081.00-2,both
13-2082.00-0,both
13-2082.00-1,both
13-2082.00-2,both
15-1299.03-0,both
15-1299.03-1,female
15-1299.03-2,both
15-1299.01-0,both
15-1299.01-1,both
15-1299.01-2,both
15-1255.01-0,male
15-1255.01-1,both
15-1255.01-2,both
15-1299.00-0,both
15-1299.00-1,both
15-1299.00-2,male
15-1299.08-0,male
15-1299.08-1,male
15-1299.08-2,male
15-2021.00-0,both
15-2021.00-1,both
15-2021.00-2,both
15-1253.00-0,both
15-1253.00-1,both
15-1253.00-2,both
15-1232.00-0,both
15-1232.00-1,both
15-1232.00-2,both
15-1254.00-0,both
15-1254.00-1,both
15-1254.00-2,both
15-1243.00-0,male
15-1243.00-1,male
15-1243.00-2,both
17-1021.00-0,both
17-1021.00-1,both
17-1021.00-2,both
17-2111.00-0,both
17-2111.00-1,both
17-2111.00-2,both
17-3024.01-0,male
17-3024.01-1,male
17-3024.01-2,male
17-1022.00-0,male
17-1022.00-1,male
17-1022.00-2,male
17-2199.03-0,male
17-2199.03-1,male
17-2199.03-2,male
17-1011.00-0,both
17-1011.00-1,male
17-1011.00-2,male
17-3026.00-0,both
17-3026.00-1,male
17-3026.00-2,both
17-3029.00-0,both
17-3029.00-1,both
17-3029.00-2,male
17-2081.00-0,both
17-2081.00-1,both
17-2081.00-2,both
17-3021.00-0,male
17-3021.00-1,male
17-3021.00-2,male
19-2011.00-0,both
19-2011.00-1,both
19-2011.00-2,both
19-1031.00-0,both
19-1031.00-1,both
19-1031.00-2,both
19-4044.00-0,both
19-4044.00-1,both
19-4044.00-2,both
19-1029.03-0,both
19-1029.03-1,both
19-1029.03-2,both
19-1032.00-0,both
19-1032.00-1,male
19-1032.00-2,both
19-2043.00-0,both
19-2043.00-1,both
19-2043.00-2,both
19-3094.00-0,both
19-3094.00-1,both
19-3094.00-2,both
19-1029.00-0,both
19-1029.00-1,both
19-1029.00-2,both
19-4099.03-0,both
19-4099.03-1,both
19-4099.03-2,both
19-4061.00-0,female
19-4061.00-1,both
19-4061.00-2,both
21-1094.00-0,female
21-1094.00-1,female
21-1094.00-2,female
21-1015.00-0,female
21-1015.00-1,female
21-1015.00-2,female
21-1021.00-0,female
21-1021.00-1,female
21-1021.00-2,female
21-2099.00-0,both
21-2099.00-1,both
21-2099.00-2,both
21-1011.00-0,female
21-1011.00-1,female
21-1011.00-2,female
21-1012.00-0,female
21-1012.00-1,female
21-1012.00-2,female
21-2011.00-0,male
21-2011.00-1,male
21-2011.00-2,both
21-1091.00-0,female
21-1091.00-1,female
21-1091.00-2,female
21-1099.00-0,female
21-1099.00-1,female
21-1099.00-2,female
21-1014.00-0,female
21-1014.00-1,female
21-1014.00-2,female
23-1011.00-0,both
23-1011.00-1,both
23-1011.00-2,both
23-1012.00-0,both
23-1012.00-1,both
23-1012.00-2,both
23-1021.00-0,both
23-1021.00-1,both
23-1021.00-2,both
23-1022.00-0,both
23-1022.00-1,female
23-1022.00-2,both
23-1023.00-0,both
23-1023.00-1,both
23-1023.00-2,both
23-2011.00-0,female
23-2011.00-1,female
23-2011.00-2,female
23-2093.00-0,both
23-2093.00-1,both
23-2093.00-2,both
23-2099.00-0,female
23-2099.00-1,both
23-2099.00-2,both
25-1032.00-0,male
25-1032.00-1,male
25-1032.00-2,male
25-3031.00-0,female
25-3031.00-1,female
25-3031.00-2,female
25-2056.00-0,female
25-2056.00-1,female
25-2056.00-2,female
25-9043.00-0,female
25-9043.00-1,female
25-9043.00-2,female
25-1122.00-0,both
25-1122.00-1,female
25-1122.00-2,female
25-1071.00-0,female
25-1071.00-1,female
25-1071.00-2,both
25-1192.00-0,female
25-1192.00-1,female
25-1192.00-2,female
25-1053.00-0,both
25-1053.00-1,female
25-1053.00-2,both
25-1031.00-0,both
25-1031.00-1,both
25-1031.00-2,both
25-9099.00-0,female
25-9099.00-1,female
25-9099.00-2,female
27-1027.00-0,both
27-1027.00-1,both
27-1027.00-2,female
27-2031.00-0,female
27-2031.00-1,both
27-2031.00-2,both
27-1011.00-0,both
27-1011.00-1,both
27-1011.00-2,both
27-4032.00-0,both
27-4032.00-1,both
27-4032.00-2,both
27-4031.00-0,both
27-4031.00-1,male
27-4031.00-2,both
27-2032.00-0,female
27-2032.00-1,female
27-2032.00-2,both
27-3099.00-0,both
27-3099.00-1,both
27-3099.00-2,both
27-3043.00-0,both
27-3043.00-1,both
27-3043.00-2,both
27-3043.05-0,female
27-3043.05-1,female
27-3043.05-2,female
27-2012.03-0,both
27-2012.03-1,both
27-2012.03-2,both
29-1023.00-0,both
29-1023.00-1,both
29-1023.00-2,both
29-9021.00-0,both
29-9021.00-1,both
29-9021.00-2,both
29-1141.00-0,female
29-1141.00-1,female
29-1141.00-2,female
29-9099.00-0,both
29-9099.00-1,both
29-9099.00-2,both
29-1215.00-0,both
29-1215.00-1,both
29-1215.00-2,both
29-1299.00-0,both
29-1299.00-1,both
29-1299.00-2,both
29-2057.00-0,female
29-2057.00-1,female
29-2057.00-2,female
29-1211.00-0,both
29-1211.00-1,both
29-1211.00-2,both
29-1292.00-0,female
29-1292.00-1,female
29-1292.00-2,female
29-9091.00-0,both
29-9091.00-1,both
29-9091.00-2,both
31-2011.00-0,female
31-2011.00-1,female
31-2011.00-2,female
31-9096.00-0,female
31-9096.00-1,female
31-9096.00-2,female
31-9092.00-0,female
31-9092.00-1,female
31-9092.00-2,female
31-9099.01-0,female
31-9099.01-1,female
31-9099.01-2,female
31-9011.00-0,female
31-9011.00-1,female
31-9011.00-2,female
31-9099.00-0,female
31-9099.00-1,female
31-9099.00-2,female
31-1133.00-0,female
31-1133.00-1,female
31-1133.00-2,female
31-1131.00-0,female
31-1131.00-1,female
31-1131.00-2,female
31-9099.02-0,both
31-9099.02-1,female
31-9099.02-2,both
31-1122.00-0,female
31-1122.00-1,female
31-1122.00-2,female
33-3021.00-0,male
33-3021.00-1,male
33-3021.00-2,male
33-3021.02-0,male
33-3021.02-1,male
33-3021.02-2,male
33-3052.00-0,male
33-3052.00-1,male
33-3052.00-2,male
33-9093.00-0,both
33-9093.00-1,both
33-9093.00-2,both
33-3031.00-0,male
33-3031.00-1,male
33-3031.00-2,male
33-9099.02-0,male
33-9099.02-1,male
33-9099.02-2,male
33-1099.00-0,male
33-1099.00-1,male
33-1099.00-2,male
33-9092.00-0,both
33-9092.00-1,both
33-9092.00-2,both
33-9011.00-0,both
33-9011.00-1,both
33-9011.00-2,both
33-3011.00-0,male
33-3011.00-1,male
33-3011.00-2,male
35-1012.00-0,male
35-1012.00-1,both
35-1012.00-2,both
35-2014.00-0,both
35-2014.00-1,both
35-2014.00-2,both
35-2019.00-0,both
35-2019.00-1,both
35-2019.00-2,both
35-2013.00-0,female
35-2013.00-1,female
35-2013.00-2,female
35-1011.00-0,male
35-1011.00-1,both
35-1011.00-2,both
35-2021.00-0,both
35-2021.00-1,both
35-2021.00-2,both
35-9099.00-0,female
35-9099.00-1,both
35-9099.00-2,both
35-3011.00-0,both
35-3011.00-1,both
35-3011.00-2,both
35-9011.00-0,female
35-9011.00-1,female
35-9011.00-2,female
35-2011.00-0,both
35-2011.00-1,both
35-2011.00-2,both
37-1011.00-0,female
37-1011.00-1,female
37-1011.00-2,female
37-1012.00-0,male
37-1012.00-1,male
37-1012.00-2,male
37-2011.00-0,both
37-2011.00-1,both
37-2011.00-2,both
37-2012.00-0,female
37-2012.00-1,female
37-2012.00-2,female
37-2019.00-0,female
37-2019.00-1,female
37-2019.00-2,female
37-2021.00-0,male
37-2021.00-1,male
37-2021.00-2,male
37-3011.00-0,both
37-3011.00-1,male
37-3011.00-2,male
37-3012.00-0,male
37-3012.00-1,male
37-3012.00-2,male
37-3013.00-0,male
37-3013.00-1,male
37-3013.00-2,male
37-3019.00-0,male
37-3019.00-1,male
37-3019.00-2,male
39-5091.00-0,female
39-5091.00-1,female
39-5091.00-2,female
39-1022.00-0,female
39-1022.00-1,female
39-1022.00-2,female
39-4031.00-0,female
39-4031.00-1,female
39-4031.00-2,female
39-9011.01-0,female
39-9011.01-1,female
39-9011.01-2,female
39-5093.00-0,female
39-5093.00-1,female
39-5093.00-2,female
39-4012.00-0,both
39-4012.00-1,male
39-4012.00-2,female
39-5012.00-0,female
39-5012.00-1,female
39-5012.00-2,female
39-1013.00-0,male
39-1013.00-1,male
39-1013.00-2,male
39-3021.00-0,male
39-3021.00-1,male
39-3021.00-2,male
39-6012.00-0,female
39-6012.00-1,female
39-6012.00-2,female
41-2022.00-0,male
41-2022.00-1,male
41-2022.00-2,male
41-4012.00-0,both
41-4012.00-1,both
41-4012.00-2,male
41-1011.00-0,both
41-1011.00-1,both
41-1011.00-2,both
41-2011.00-0,female
41-2011.00-1,female
41-2011.00-2,female
41-2031.00-0,both
41-2031.00-1,both
41-2031.00-2,female
41-9031.00-0,both
41-9031.00-1,both
41-9031.00-2,both
41-9021.00-0,both
41-9021.00-1,both
41-9021.00-2,both
41-9011.00-0,both
41-9011.00-1,female
41-9011.00-2,both
41-9091.00-0,both
41-9091.00-1,male
41-9091.00-2,both
41-3031.00-0,male
41-3031.00-1,male
41-3031.00-2,male
43-4171.00-0,female
43-4171.00-1,female
43-4171.00-2,female
43-4111.00-0,both
43-4111.00-1,both
43-4111.00-2,both
43-9051.00-0,both
43-9051.00-1,both
43-9051.00-2,both
43-1011.00-0,female
43-1011.00-1,both
43-1011.00-2,both
43-4199.00-0,female
43-4199.00-1,female
43-4199.00-2,female
43-5051.00-0,both
43-5051.00-1,both
43-5051.00-2,both
43-4181.00-0,female
43-4181.00-1,female
43-4181.00-2,female
43-6014.00-0,female
43-6014.00-1,female
43-6014.00-2,female
43-4061.00-0,female
43-4061.00-1,female
43-4061.00-2,female
43-2021.00-0,female
43-2021.00-1,female
43-2021.00-2,female
45-2041.00-0,both
45-2041.00-1,both
45-2041.00-2,both
45-2099.00-0,male
45-2099.00-1,male
45-2099.00-2,male
45-4011.00-0,male
45-4011.00-1,both
45-4011.00-2,male
45-3031.00-0,male
45-3031.00-1,male
45-3031.00-2,male
45-4022.00-0,male
45-4022.00-1,male
45-4022.00-2,male
45-4023.00-0,male
45-4023.00-1,male
45-4023.00-2,male
45-1011.00-0,male
45-1011.00-1,male
45-1011.00-2,male
45-4029.00-0,male
45-4029.00-1,male
45-4029.00-2,male
45-2092.00-0,male
45-2092.00-1,male
45-2092.00-2,male
45-4021.00-0,male
45-4021.00-1,male
45-4021.00-2,male
47-4021.00-0,male
47-4021.00-1,male
47-4021.00-2,male
47-2072.00-0,male
47-2072.00-1,male
47-2072.00-2,male
47-2111.00-0,male
47-2111.00-1,male
47-2111.00-2,male
47-2181.00-0,male
47-2181.00-1,male
47-2181.00-2,male
47-2142.00-0,both
47-2142.00-1,both
47-2142.00-2,male
47-5022.00-0,male
47-5022.00-1,male
47-5022.00-2,male
47-2044.00-0,male
47-2044.00-1,male
47-2044.00-2,male
47-2043.00-0,male
47-2043.00-1,male
47-2043.00-2,male
47-4099.00-0,male
47-4099.00-1,male
47-4099.00-2,male
47-2022.00-0,male
47-2022.00-1,male
47-2022.00-2,male
49-9091.00-0,male
